"Carimbo de data/hora"," Mostra para qual o filme foi selecionado
Section for which the film was selected
Muestra para la cual la película fue seleccionada ","Título Original
Original Title
Título Original ","Direção
Director
Dirección","Gênero | Genre | Género","Cor:","Duração (em minutos)
Running Time (in minutes)
Duración (en minutos)","País(es) de Origem
Country(ies) of Origin
País(es) de Origen","Ano de Produção
Year of Production
Año de Producción","Roteiro
Screenplay
Guion","Produção
Producer
Producción","Montagem
Editing
Montaje","Direção de Fotografia
Cinematography
Dirección de Fotografía","Direção de Arte
Art Direction
Dirección de Arte","Som:
Sound:
Sonido","Produtora / Empresa Responsável:
Production Company / Responsible Entity:
Productora / Entidad Responsable:","Empresa(s) Coprodutora(s):
Co-production company(s):
Compania coproductora(s):","Distribuidora:
Distributor:
Distribuidora","Elenco:
Cast:
Elenco:","Sinopse:
Synopsis:
Sinopsis:","Classificação Indicativa | Age Rating | Clasificación por Edades ","Link do Trailer no Youtube (se houver)
Trailer Link on Youtube (if available)
Enlace del Tráiler en Youtube (si lo hay)","Imagem de divulgação para catálogo
Promotional image for catalog
Imagen de divulgación para catálogo","Imagem horizontal para o site
Horizontal image for the website
Imagen horizontal para el sitio web","Cartaz ou imagem vertical
Poster or vertical image 
Cartel o imagen vertical","Autorização de Exibição:
Display authorization:
Permiso de Exhibición:","Mini bio da direção
Director's Mini Bio
Mini biografía de la dirección","Foto da direção
Director’s Photo
Foto de la dirección","Crédito das imagens
Image credits
Créditos de las imágenes","Título do Filme em Português
Film Title in Portuguese
Título de la Película en Português"
7/8/2025 1:09:53,"Território","Bienvenidos conquistadores interplanetarios y del espacio sideral","Andrés Jurado","Documentário","Cor / P&B",95,"Colombia, Portugal",2024,"Andrés Jurado","Maria Rojas Arias, Andrés Jurado","Andrés Jurado & Maria Rojas","Andrés Jurado","Maria Rojas Arias, Andrés Jurado","Andrés Jurado, Maria Rojas Arias, Andrés Silva, La Tina Studios","La Vulcanizadora","Kintop","La Vulcanizadora","Antonio Zarco,
Manuel Mendoza,
Antonio Chamarra,
Neil Armstrong","En el teatro de la Guerra Fría, los astronautas perdidos en el Darién se ven asediados por sus miedos más profundos al ser sorprendidos por un indígena ¿pensaron que serían decapitados o devorados por un caníbal salvaje?. Una deconstrucción de archivos fílmicos y de propaganda del entrenamiento de supervivencia tropical desafía la narrativa colonial inscrita en la conquista del espacio.","12 anos",,"https://drive.google.com/open?id=1Yf1Q6IQcdFJiFAy5iHeRgkdfWixSNEeJ","https://drive.google.com/open?id=1eIKfqGUkbL8wwDRCjTtsgo-HHAeR3HIK","https://drive.google.com/open?id=1v1S1HwkHEOPzsVfp1QN-7f9junjo6BJx","https://drive.google.com/open?id=1MbGVCzWLLR_JIz1KONuDZM0u31zWWxC_","Artista, cineasta y productor. Su trabajo explora las intersecciones del cine experimental y expandido, los archivos, los contra-archivos y las políticas de la memoria. Codirector de La Vulcanizadora. Su película El Renacer del Carare fue premiada en el 31º FIDMarseille. Su cortometraje Yarokamena se estrenó en el 72º Forum Expanded de la Berlinale. Forma parte del Equipo de Forensic Architecture en la investigación y exposición Rastros de Desaparición","https://drive.google.com/open?id=1lnulT-OZGemmO1EX5PAoOlnzVmSyJYYr","Luis Carlos Barragan",
7/9/2025 11:42:00,"Território","Huaquero","Juan Carlos Donoso Gómez","Híbrido","Cor",81,"Equador, Perú, Romênia",2024,"Juan Carlos Donoso Gómez","Christian Santiago Rojas España, Lady Vinces, Rodrigo Ruiz Tarazona ","Juan Daniel F. Molero, Juan Carlos Donoso Gómez","Dario Crespo, Juan Carlos Donoso Gómez",,"Christian Ñeco","Silencio Films","Cineclub de Lambayeque, Cinelab Romania",,"Tommy Párraga, Carlos Valencia","Entre los paisajes de Ecuador y Perú, 'Huaquero' reconstruye las memorias fragmentadas de ex-huaqueros de artefactos prehispánicos, fusionando documental y ficción para revelar las tensiones entre el saber ancestral, el tráfico de patrimonio y las heridas coloniales que aún persisten en estos territorios.","14 anos",,"https://drive.google.com/open?id=1styb0JVolQSkt7S9wcFnlBFYhZHUsYpL","https://drive.google.com/open?id=1PqRllzwWFaDmIbT_Xvcz4Drxr0VAmhsx","https://drive.google.com/open?id=1BQiGyMMvFgXwQx3bgXU2mxRWme4Cud9E","https://drive.google.com/open?id=1cOzWUMYymgqC5dlRAOD6bbxCk6K8W9rX","Licenciado en Cine por la Universidad San Francisco de Quito (2007), realizó posteriormente un Máster en Estudios Latinoamericanos en la Universidad de Ámsterdam. Tras dirigir varios cortometrajes, estrenó su ópera prima, 'Saudade', en la Mostra Internacional do Cinema de Sao Paulo (2013). 'Huaquero', su segundo largometraje, se estrenó mundialmente en IDFA- Festival Internacional de Cine Documental de Ámsterdam 2024.","https://drive.google.com/open?id=1CHuz4Mk06h05_7WisxaLEKcQSalhjPbr","Promotional",
7/11/2025 15:48:57,"Território","Quemadura china","Verónica Perrotta","Ficção","Cor",76,"Uruguai / Brasil",2025,"Verónica Perrotta","Verónica Perrotta, Aletéia Selonk, Patricia Olveira Medina","Magdalena Schinca Damián","Nico Soto Díaz","Roberto Cancro Fabbri","Maximiliano Angelieri","Verónica Perrotta"," Okna Produções","De-cine","Néstor Guzzini, César Troncoso, Verónica Perrotta, Monina Bonelli, Joaquín de Ávila, FAbiana García Cuadro, Gabriel Macció Pastorini","Os siameses Annie e Dani enfrentam a separação física, em um ato tão cirúrgico como existencial. Willie, o irmão mais velho que realiza a cirurgia, confessa seu desejo de ser siamês e pede para ser costurado a um deles. As tensões e obsessões do elenco vão se misturando com a ficção fantástica. Enquanto isso, a locação principal ameaça desmoronar.","12 anos",,"https://drive.google.com/open?id=1uBNbFru3zhhwUxHdA0-ANAp5_OX11U_c","https://drive.google.com/open?id=1PE2yZIzK9BGSFsO39_QxwZ0WJsSnZEnu","https://drive.google.com/open?id=1kVPEesMH5y0TU8KHLUQ4_phpLnGMUpM1","https://drive.google.com/open?id=15IqQRabFMbh6ewv-y-0PyJjc6gWJ5Pqr","Atriz, roteirista e professora. Mestre em dramaturgia (UNA, Argentina). 
Como atriz: ""Mi Mundial"", ""Whiskey"", ""Mulher do Pai"" (Br), ""Planta Permanente""(Arg) e ""Flacas Vacas"", que também roteirizou. Escreveu e dirigiu, junto a Gonzalo Delgado, ""Las toninas van al Este"". Pesquisa sobre Pedagogia na Direção de Elenco na Universidade Pública do Uruguai. 
Kikito no Festival de Gramado e Troféu Redentor no Festival do Rio (2016).","https://drive.google.com/open?id=1uPttAcENc5zdrKJha6B8klcNp39v_lQI","Divulgação","Queimadura chinesa"
7/14/2025 15:46:30,"Mostra Conexões","Todo Parecía Posible","Ramón Rivera Moret","Documentário","Cor / P&B",142,"Porto Rico/Estados Unidos",2025,"Ramón Rivera Moret","Oren Rudavsky","Ramón Rivera Moret","Ramón Rivera Moret",,"Eliza Paley, Larry Zipf","Oren Rudavsky Productions",,"First Run Features",,"Todo Parecía Posible entrelaza las películas de la División de Educación de la Comunidad, filmadas en comunidades rurales en Puerto Rico en los años 50 y 60, con historias familiares del cineasta Ramón Rivera Moret. A la vez ensayo cinematográfico y reflexión política, la película retrata un periodo en que el país imaginó otro futuro, explorando cómo el cine expresaba una visión utópica en tensión con fuerzas políticas, sociales y económicas que moldeaban el país.","Livre","https://www.youtube.com/watch?v=AtY3alAvM84","https://drive.google.com/open?id=1AyGVc4zvSucEXJC1fVBMLFJDXVDP4IwY","https://drive.google.com/open?id=1RUQDtRQ0gFPMWFRumrZ_6qNpUIKel3r3","https://drive.google.com/open?id=10x7wo6fH7AfCm-_IrWwn3rcN9Z5JDf6W","https://drive.google.com/open?id=1T8TrsGOd4LHivshyKcy-F-FPIIm9xs1d","Ramón Rivera-Moret es cineasta puertorriqueño. Su práctica combina relatos múltiples mediante estrategias narrativas experimentales. Entre sus obras están La Dirección del Cielo, sobre tradiciones astronómicas en las Américas; The Ordinal Directions, instalación sobre memorias de emigrantes en un parque de Queens, NY; On Calloway Street, documental sobre un condominio habitado por emigrantes; y Chishimo, sobre un médico tradicional en Zambia. Sus películas se han exhibido en EE. UU. y Europa.

","https://drive.google.com/open?id=1iLS2bB35hNLTdpRDTntjOwKZ2Zjjiphe","Divulgación","Tudo Parecia Possível"
7/15/2025 12:27:05,"Mostra Conexões","Todo  documento de civilización","Tatiana Mazú González","Documentário","Cor",90,"Argentina",2024,"Tatiana Mazú González","Nacho Losada","Manuel Embalse","Francisco Bouzas","Joaquín Maito","Julián Galay","Antes Muerto Cine",,,,"Un cruce de avenidas que es, a la vez, frontera entre la ciudad de Buenos Aires y su conurbano.Cada noche, miles de personas lo atraviesan volviendo del trabajo. Esta película es un proceso de excavación. O la disección del paisaje donde, hace quince años, el Estado desapareció a Luciano Arruga.
","Livre",,"https://drive.google.com/open?id=1YLJB3l_9rhWEamIBb2tqjxHoUId4j5Wv","https://drive.google.com/open?id=11TLFWOeFZTD5TNRSq_4W2Eqpbcq4zKDK","https://drive.google.com/open?id=1g3noUYOm_jQcPq8oTaCE88xWgCPNm28R","https://drive.google.com/open?id=1YHAtPKKf1jE85HZVH4DeT64V_EoD3DMU","Tatiana Mazú González. Buenos Aires, 1989. Es realizadora documental-experimental y docente. Es parte del colectivo Antes Muerto Cine y de R.A.T.A. Sus películas El estado de las cosas (2012, junto a Joaquín Maito), La Internacional (2015), Caperucita roja (2019), Río Turbio (Prix Georges de Beauregard FID Marseille 2020) y Todo Documento de Civilización  (Prix Georges de Beauregard FID Marseille 2024) han sido exhibidas y premiadas en Mar del Plata, FICUNAM, DocLisboa, Valdivia, entre otros. ","https://drive.google.com/open?id=1AVBLIBOwj8bSMEbJC2D04BJjd5lUpyf7","Divulgación","-"
7/15/2025 16:57:27,"Mostra Conexões","Un Cuento de Pescadores","Edgar Nito","Ficção","Cor",97,"México",2024,"Alfredo Mendoza & Edgar Nito","Dr Carlos Eguiluz","Sam Baixauli","Juan Pablo Ramírez AMC","Josué Orozco","Zvook","PIROTECNIA FILMS","EL ESTUDIO","CINEPOLIS DISTRIBUCIÓN","Jorge A Jiménez, Alejandra Herrera, Andrés Delgado, Renata Vaca, Hoze Meléndez, Daniela Momo, José Antonio Becerril, Anna Díaz, Waldo Facco, Bibiana Godínez, Agustín Cornejo, Perla Alejo, Ruby Vizcarra, Myriam Bravo, Mercedes Hernández y Noé Hernández","Cuenta la leyenda que hace años la naturaleza prosperaba en armonía alrededor del lago y sus islas, hasta que el mal llegó. Los hombres, cegados por deseos oscuros, trajeron miedo, odio y muerte. Los pescadores la llaman 'La Miringua', la que te arrastra y ahoga en el lago por tus pecados.","14 anos","https://www.youtube.com/watch?v=WLv9C04Yczk","https://drive.google.com/open?id=1B01j0RwbRQPoVp50s7f3xhl8FvrhVWdj","https://drive.google.com/open?id=1AfHJCe2GyoVk9JL_uGMxgbL6MSRuLHuh","https://drive.google.com/open?id=1_2bUNqPehpasStvmmoPtdqfPwcbV3f4r","https://drive.google.com/open?id=10feXzUQQ3i7aBpjfdl4GORbm4DHJRswR","Edgar Nito es cofundador de Pirotecnia Films y se desempeña como Director, Productor y Guionista. Fue galardonado como Mejor Nuevo Director Narrativo en el TriBeCa Film Festival 2019 por su ópera prima Huachicolero. 
Su más reciente película, Un Cuento de Pescadores, tuvo su estreno mundial en SITGES 2024 y su estreno nacional en el Festival Internacional de Cine de Morelia, donde recibió una Mención Especial por el Trabajo Conjunto del Elenco Artístico.
Edgar dirigió el segmento Jaral de Berrios en México Bárbaro y episodios de las series Dale Gas (Netflix) y Pinches Momias (VIX).","https://drive.google.com/open?id=1Bagij-RgI7lBUnm_8qKN--OquNHDZZQF","Divulgación","Um Conto do Pescadores"
7/16/2025 6:37:25,"Território","UNA CASA CON DOS PERROS","Matías Ferreyra","Ficção","Cor",92,"Argentina",2025,"Matías Ferreyra ","Martín Paolorossi, Inés Barrionuevo, Sofía Castells ","Julia Seco – Sebastián Schjaer  ","Nadir Medina  ","Julia Pesce  ","Ezequiel Brodsky  ","Gualicho Cine ","Vega Cine","Outplay Films","Simón Boquite Bernal (Manuel)   

Florencia Coll (Nora)  

Magdalena Combes Tillard (Tati)  

Maximiliano Gallo (Héctor)   

Emilio Silber (Hernán)  

Abigail Piñeiro (Cristina) ","En plena crisis Argentina del 2001, Manuel y su familia se ven obligados a mudarse a la casa de su abuela materna “La Tati”, una mujer extraña que ve cosas que nadie más ve. Allí, también vive su tío Raúl y un perro que acaba de morir.  De pronto, la llegada de la familia genera un conflicto por los espacios de la casa. 

Atrapado en medio de esta extraña guerra por la ocupación de los espacios, Manuel siente que su familia no es un lugar seguro para él, pronto encuentra en la complicidad con su abuela, un particular e inesperado modo de resistir. ","Livre","https://www.youtube.com/watch?v=UxzB48n8Eug","https://drive.google.com/open?id=1TEhjLOaUF7n-7lg9cUd_Kn70OAvWGM_u","https://drive.google.com/open?id=116SBZYbeOvAaa46jcIamhZSsMOg0hy0O","https://drive.google.com/open?id=1lzXhKpYSNYhucR3P8fbcbbtI0owjgnKY","https://drive.google.com/open?id=1KuW_CfmunG7dlYc_vcusqhU16adfgYTZ","Director and scriptwriter. Graduated in film at the National University of Cordoba. He has worked as a scriptwriter for both animation and fiction in different formats. He has worked as a scriptwriter for the children’s channel Paka Paka and on independent projects for OSA studio. His short films has been part of festivals such as Annecy, Guadalajara, Quirino Awards, Prix Jeunesse, among others. As a student he wrote and directed two short films, CAMPO SANTO 16mm fiction and NOS(OTRXS). In 2017 he was selected for a scriptwriting training scholarship in San Antonio de los Baños, Cuba. ","https://drive.google.com/open?id=1XRpNBrwh5mfFuyOK5Iru6L3lQN3qZ7_g","Outplay Films","UMA CASA COM DOIS CACHORROS"
7/17/2025 13:31:57,"Mostra Conexões","Notas sobre um desterro","Gustavo Castro","Documentário","Cor / P&B",80,"Brasil",2025,"Juliana Sanson, Ticiano Monteiro e Gustavo Castro","Juliana Sanson e Gustavo Castro","Ticiano Monteiro","Gustavo Castro",,"Ulisses Galetto","Fabulário Filmes",,,"Mohammad Abdel Latif,
Ruayda Rabah,
Khaled Mohammad Hussein Abdel Latif,
Jamile Abdel Latif,
Jihad Mohamad Habas,
Ali Abur,
Nicola Shaheen,
Husney Wasef,
Ualid Rabah
","As filmagens do encontro com uma família brasileira-palestina na Cisjordânia em 2018 são revisitadas após 7 de outubro de 2023. O que era para ser um filme sobre as possibilidades de coexistência em uma terra ocupada, se transforma em uma brutal reflexão sobre colonização, apartheid, genocídio e a recente proliferação de imagens de guerra, produzidas pelas próprias vítimas de um massacre que se repete no curso do tempo. ","16 anos","https://youtu.be/Sc0bfTbM7Fw","https://drive.google.com/open?id=1n0UuIyBJThPVFLZ0lPxJf8l9oiVrL5VF","https://drive.google.com/open?id=1wIbrIkyiThuV5Ej4nePTGfmlp1NkqYGX","https://drive.google.com/open?id=1NULoE_Tn8Du4k68oo9I4nTUfxIaU7-bd","https://drive.google.com/open?id=1JpjOMgh0aET7coeaSUDO1QUU4ZZUlnIN","Gustavo Castro é diretor, diretor de fotografia e editor. Realizou mais de 30 documentários sobre temas sociais na América do Sul, Amazônia e Oriente Médio. Dirigiu “A Fortaleza” (2021) e as webséries “Afegãos no Brasil” (2022), “Negritude Branquitude” (2018) e ""Cidade ao Redor: Retratos da Luta por Moradia em Curitiba"" (2017). Em 2025, lança seu primeiro longa como diretor: “Notas Sobre um Desterro”, um filme-ensaio sobre a questão Palestina.","https://drive.google.com/open?id=1AQ-kH3cC4AsX8_khq1jvJVZrHxEZ_e0H","Divulgação",
7/17/2025 18:42:11,"Território","Movimento Perpétuo","Leandro Alves","Híbrido","Cor",70,"Brasil",2025,"Leandro Alves e Rafhael Barbosa","Wagno Godez","Glauber Xavier","Paulo Silver","Gabriela Araújo","Leonardo Bulhões","Zóio Comunicação","Filmes de Bananola, Arte Camaleão, NAVI - Núcleo do Audiovisual de Arapiraca ","Cajuína Audiovisual","Edvaldo Izidoro
Elisa de Oliveira
Lhara Letícia
Mago Véio
Maria Gardênia de Oliveira
Dudu Prapof
Helder Marx","Seu Edvaldo acumula objetos e cultiva árvores em seu sítio, um oásis cercado pela cana-de-açúcar. Ao descobrir que precisa de outra cirurgia no coração, busca cura na natureza e reflete sobre seu legado. Quando a imprensa anuncia a passagem de um cometa verde, ele interpreta o fenômeno como um sinal.","12 anos","https://youtu.be/_TI1dze8BoI?si=OV5qZtetn4Pc-zHH","https://drive.google.com/open?id=1kKsHsF29o9G3IpFpLqxHaG9ElazaD9Tm","https://drive.google.com/open?id=1Gydy3NBeJGpZoPAkl1uY8-BY6MylSsp5","https://drive.google.com/open?id=13h2iOAepFaL1gACFFwo1TCacjyDUy24v","https://drive.google.com/open?id=1xTkqRhjF0ox9cG1arLKj776__0xGX8Pz","Escreveu e dirigiu os curtas Hoje tem espetáculo? (2010), Estrelando José Sawlo (2011), Flamor (2013), Segunda-feira (2016), Avalanche (2017) e Nós duas (2023). Assinou a direção de fotografia dos curtas O Juremeiro de Xangô (2016), Povoado (2016), O Canto (2023) e Dentro de mim (2023).  Diretor e roteirista dos longas Movimento Perpétuo (2025), Os Romeiros de Coutinho (pós-produção) e Bando (em desenvolvimento), todos com apoio de editais de incentivo à produção audiovisual.","https://drive.google.com/open?id=1W1rcywuXFjF-g3Vx59D3o4ArgHQcVI94","Divulgação","Movimento Perpétuo"
7/18/2025 16:23:21,"Contemporânea","Lagoa Armênia","Leonardo da Rosa","Experimental","Cor",19,"Brasil",2025,"Gianluca Cozza e Leonardo da Rosa","Aline Ben, André Berzagui, Eloisa Soares, Gianluca Cozza e Leonardo da Rosa","Leonardo da Rosa","Eloisa Soares",,"Otávio Vassão","Saturno Filmes",,,"Marvin Souza, Matheus Porto e Felipe Martins","Taquari, cidade do interior do Rio Grande do Sul, é a terra natal do ditador Arthur da Costa e Silva. Em 1976, inaugura-se um busto de bronze em sua homenagem na Lagoa Armênia, principal ponto turístico do município.","10 anos","https://youtu.be/SuufnOzCopA?si=VkQy9xSBTDdUQNjk","https://drive.google.com/open?id=1PIXk106kWUlOrFkrhHlCLtcG3slVXCKL","https://drive.google.com/open?id=1mJRcvzwzxvvACwe9qqs1c8CoybzLToR0","https://drive.google.com/open?id=1T4CNCQj_ezkg8lxTxMBHyxjuSv-aYYQx","https://drive.google.com/open?id=1SPj-A05zbGN-uRyJoiVDbxnl0CTmFb5A","Leonardo da Rosa é diretor e roteirista graduado em cinema pela UFPel e atualmente mestrando em antropologia social na UFRGS. Seus filmes são voltados para narrativas do interior do RS com foco no proletariado local. Dirigiu os curtas-metragens Construção (2020) e Madrugada (co-direção com Gianluca Cozza, 2022) eleitos melhores curtas gaúchos de 2020 e 2022 pela ACCIRS. Teve passagens por festivais como Visions du Réel, Tiradentes, Huesca e FICUNAM. Atualmente desenvolve seu primeiro longa-metragem (Arché/DocLisboa - Tres Puertos) com produção da Vulcana Cinema.","https://drive.google.com/open?id=16--j-kKgabWvszOzuAbS1TMVbkLZlB_G","Eloisa Soares",
7/18/2025 23:43:15,"Contemporânea","Entre Aulas","Marizele Garcia","Híbrido","Cor",13,"Brasil",2025,"Endryck Renan, Lauany Fernandes, Monique Gabrielle, Marizele Garcia, Guilherme Amado e João Werlang","Guilherme Amado e Adriana Gonçalves","João Werlang","Amanda Rezer","José Eduardo Camargo","Yago Mayer Forte","Fita Básica",,,"Endryck Renan, Lauany Fernandes, Monique Gabrielle e Kauê Geovane
","Após fugirem da aula, Monique e Lauany se juntam a Renan para ir a um casarão abandonado, atraídos pela lenda de uma menina perdida. Nessa manhã comum no interior, o tempo se dilata.","12 anos","https://www.youtube.com/watch?v=VBUQ4503-NE","https://drive.google.com/open?id=1DrCEEylA5zy04UJ1hAxdQP8GMi_-a0uU","https://drive.google.com/open?id=1HXYGQx1483khF2XQnf1N4BVtK2yxTL0-","https://drive.google.com/open?id=1epMXYDgZ7XyBt21s2Tcuai5oBclmVzWM","https://drive.google.com/open?id=1OiR65MxldmwKhaKqEmbi6Wa3rxBPG8Hv","Marizele Garcia, natural de Bagé/RS, é graduada em Cinema e Audiovisual pela Universidade Federal de Pelotas (UFPEL) e integrante do coletivo Fita Básica. ","https://drive.google.com/open?id=1gfdx097S9dbroAUUSwlO-6s1HUZ0VRKE","Amanda Rezer",
7/19/2025 11:23:42,"Contemporânea","Dois Nilos","Samuel Lobo e Rodrigo de Janeiro","Documentário","Cor",18,"Brasil",2024,"Samuel Lobo e Rodrigo de Janeiro","Samuel Lobo e Rodrigo de Janeiro","Marilia Moraes, Samuel Lobo e Rodrigo de Janeiro","Victor Vidigal e Eduardo Curi",,"Igor Leite e Artur Seidel","Correria Filmes","Drixa Filmes",,"Afranio Vital e Wilson Rabelo","Um passeio pelas memórias do cineasta brasileiro Afranio Vital. Entre sonhos e escombros, uma vida de cinema não acaba assim.","12 anos","https://www.youtube.com/watch?v=OJygBTVzsIk","https://drive.google.com/open?id=10D_HmbFHC2Tksn0Wgh8xiuCSefhsTbjc","https://drive.google.com/open?id=1zCOWf3sSnQCb2J1pL384khaOXCdt7iyC","https://drive.google.com/open?id=17zu3wOlDyHOvN7yoqmL6RIRRfd4jJw05","https://drive.google.com/open?id=1iLZnnMqVQydKZV9SMKXuABNVg1zI8ml0","Samuel Lobo é produtor, roteirista e diretor. Escreveu e dirigiu os curtas-metragens de ficção “Jaguanum” (2023), “Umas & Outras” (2018), “O Olho do Cão” (2017) e “Noite Escura de São Nunca” (2015), premiados em festivais e exibidos na TV. Rodrigo de Janeiro é cineasta nascido em Belford Roxo, RJ. Entre seus filmes mais reconhecidos estão “Nada Além da Noite” (2019), com Léa Garcia, e “A Jornada do Valente” (2022), com Wilson Rabelo.","https://drive.google.com/open?id=1Rsw6yTBSpuxIJc73_HLR6SuBt_sNWlNv","Victor Vidigal","Dois Nilos"
7/19/2025 14:21:46,"Contemporânea","Terra Mãe Mãe Terra","Júlia Mattar","Documentário","Cor",15,"Brasil",2024,"Júlia Mattar e mariadudax ","Júlia Mattar e mariadudax ","Júlia Mattar e mariadudax ","mariadudax ",,"Davi Meisu ",,,,,"Intercalando o cotidiano na ocupação com a luta por direitos, o documentário acompanha o povo indígena Warao e retrata suas vivências em uma retomada em Betim.","Livre",,"https://drive.google.com/open?id=1w8B5_S8I2DInLFlfESGmcexiNo9IV-bM","https://drive.google.com/open?id=1IGiurG5-ymSlTtEMQokoCVP8RltzY5Yc","https://drive.google.com/open?id=1NpfWCTVrYI8HRr7b1JShwR80L9m82Q6R","https://drive.google.com/open?id=1BAtEl2tUXV4-fHp5R3aK7tvhTqJ3fz3Q","Júlia Mattar é natural de Belo Horizonte. Estudante de Cinema e Audiovisual pela Puc Minas, participa de diversos projetos universitários em áreas como Direção, Som, Roteiro e Arte","https://drive.google.com/open?id=1cSE-PSxdVo19rLvnqPgpIkTGT4Pe9Xrd","mariadudax ",
7/19/2025 14:40:59,"Contemporânea","Jamais Visto","Natália Reis","Experimental","Cor",3,"Brasil",2024,"Natália Reis","Natália Reis","Natália Reis ",,,,,,,,"Este é o filme que nunca veremos. Encontrado em algum lugar do futuro numa mídia fantasma que sofre com a interferência direta da radiação e do geomagnetismo, o filme reimagina a Zona Norte de Juiz de Fora e os conjuntos habitacionais como o último refúgio na catástrofe nuclear.","Livre",,"https://drive.google.com/open?id=1MukD_CoSLysJbwO_rZWuXdZsNX8i15tU","https://drive.google.com/open?id=1L3bPyCc2-yJM9B_doxpl_sSpFVUJziPC","https://drive.google.com/open?id=1zi54yN_8rxNjK8cxa_eBwEDh7OaG1ZrJ","https://drive.google.com/open?id=1NydHFgP-fAOCDymVMw10EISLcKXizFAT","Natália reis (Santos Dumont, 1990) é realizadora experimental e pesquisadora. Trabalha principalmente com apropriação e manipulação de imagens de arquivo, explorando os pontos de contato entre documento e ficção.  ","https://drive.google.com/open?id=1JZyKEh0T5SHmJmrdErUl11p8Z6ievKFo","Divulgação","Jamais Visto"
7/21/2025 10:34:11,"Contemporânea","Pequeno B","Lucas Borges","Animação","Cor",14,"Brasil",2025,"Lucas Borges","Fernanda Roque","Lucas Borges","Storyboard: Lucas Borges Daniel Marques  Direção de Animação: Vincenzo SalvatoreAnimação: Lucas Borges Daniel Marques Vitor Miguel Silva Yoná Carneiro  Modelagem 3d: Daniel Marques  Composite e Efeitos: Francis Frank","Yoná Carneiro","Borg’s","Inhamis Studio","-",,"Voz Original:
RT Mallone: Pequeno B
Samir Hauaji: Tio Alberto 
Carol Gerhein: Sophia
Erik RK: Vando
Gabriel de Oliveira: Lucão
Marcella Victer: Nilza
Rodrigo Mangal: Bicheiro
Voz Adicional:
Samir Hauaji: Dono do Ferro Velho 
","Em um bairro distante onde a honra e a coragem são fundamentais, um duelo emocionante é marcado após a aula. De um lado, um adversário que joga sujo e age de forma covarde. Do outro, Pequeno B, acompanhado por seus amigos leais.
","10 anos","https://youtu.be/6Kz1o2Izls4","https://drive.google.com/open?id=1HPx6Ex07xtGnD95X3vW7vJ_PFdKnEujg","https://drive.google.com/open?id=1UYrsquJjLyPwg29yAVU-m6B8uUq832oq","https://drive.google.com/open?id=1kCeYNe8PnPlqD7IBke83Ht0Ve78dtcdC","https://drive.google.com/open?id=1JNPDRxYi7KV6yuG3ol-mf9NtPTyrZJ5b","Lucas Borges é artista visual, animador, ilustrador e editor, formado em Artes e Design pela UFJF. Trabalha no audiovisual desde 2016 e Pequeno B é seu filme de estreia como diretor e roteirista. 
","https://drive.google.com/open?id=1RxKQA6uk2oMgfY3qzUJvlW75KnWVln-N","Divulgação","Pequeno B"
7/21/2025 11:34:05,"Contemporânea","Confluências","Dácia Ibiapina Co-direção Nêgo Bispo","Documentário","Cor",26,"Brasil",2024,"Dácia Ibiapina","Dácia Ibiapina e Adirley Queirós","Cristina Amaral","Ivan Viana Costa","Denise Vieira","Juciele Fonseca e Marcus Vinicius","Carneiro de Ouro - Audiovisual e Tecnologia",,"Embaúba Play",,"Confluências apresenta os modos de festejar e outros modos de vida do quilombo Saco-Curtume, território situado no Estado do Piauí/Brasil, a partir do qual Nêgo Bispo anunciou seus saberes e sua poética sobre a preservação da vida no planeta Terra e sobre as cosmologias quilombolas.
","Livre",,"https://drive.google.com/open?id=1dB2iSjuK3ie8Jr9xYxnwd6w0373uZ9gQ","https://drive.google.com/open?id=1vjO9YfqBiwx6g4_PZRJStJO5_AXhc8aj","https://drive.google.com/open?id=159e-SjFabjtBvw14J83qMjjs1GNvouCF","https://drive.google.com/open?id=1w18L3JgmpLEyLhgMA9wnQrAjfy7_LUo5","Dácia Ibiapina é piauiense e mora atualmente em Brasília. É diretora, roteirista e produtora de cinema. É sócia-administradora da empresa produtora Carneiro de Ouro. É professora e pesquisadora de cinema aposentada da Universidade de Brasília. Diretora e produtora de filmes documentários: 03  longas (Entorno da Beleza, Ressurgentes: um filme de ação direta e Cadê Edson?); 07 curtas e um DocTV sobre o cineasta Vladimir Carvalho.","https://drive.google.com/open?id=1CTGkhb0dFeCPq2j3kIm-VqVikEy2Umyi","Fotos Ivan Viana ",
